userId_score
592388062,1502110,8005-4
1001814622,1182648,8005-4
3683137040,1171877,8005-4
287230383,1142516,8005-4
1205874912,786575,8005-4
1057823086,763242,8005-4
167210239,749650,8005-4
2374118718,690315,8005-4
2518186960,637233,8005-4
1928488976,606663,8005-4
1997503712,566659,8005-4
1562892590,562230,8005-4
1331143904,557108,8005-4
2238994032,526133,8005-4
955418030,524371,8005-4
2418002798,501613,8005-4
435445711,497598,8005-4
1400222608,467526,8005-4
416742286,462183,8005-4
33616575,461386,8005-4
1406486016,457998,8005-4
1112906046,451797,8005-4
2429074430,444947,8005-4
1399693854,436732,8005-4
3845076560,430963,8005-4
634061487,411577,8005-4
33535263,400457,8005-4
946989504,396105,8005-4
485487295,386108,8005-4
260688318,384005,8005-4
100238495,378492,8005-4
2070679888,373777,8005-4
328200687,366894,8005-4
2898343376,365229,8005-4
3110360288,362555,8005-4
1213662302,361046,8005-4
159387199,344056,8005-4
2300449518,339225,8005-4
1313108078,338850,8005-4
2408135806,334553,8005-4
3212001200,326876,8005-4
3640331136,326715,8005-4
624370271,322888,8005-4
1426973326,322690,8005-4
2504087920,320766,8005-4
2428034094,319351,8005-4
3469787792,316828,8005-4
1252349230,315719,8005-4
1395521902,313556,8005-4
321061694,313347,8005-4
2865278848,311594,8005-4
167189999,311040,8005-4
2388378656,307070,8005-4
171027375,306741,8005-4
608563440,303413,8005-4
2557195488,294515,8005-4
33460911,288362,8005-4
1040826446,287957,8005-4
2976511392,285865,8005-4
4246517552,280899,8005-4
47986159,277294,8005-4
2408286270,275136,8005-4
1279326878,274555,8005-4
1099515134,273390,8005-4
345506126,272334,8005-4
3589068016,269911,8005-4
2411341310,267467,8005-4
102429807,263806,8005-4
573904031,261833,8005-4
219166191,254151,8005-4
2517299024,253770,8005-4
3944860320,253744,8005-4
1122281888,252360,8005-4
2417186574,252147,8005-4
1380023150,248038,8005-4
2166095104,245907,8005-4
2428038174,243788,8005-4
2829683072,242679,8005-4
334773392,235691,8005-4
1174278558,234111,8005-4
2437148078,233772,8005-4
1118872816,232738,8005-4
3736280624,231785,8005-4
413442751,231748,8005-4
3986325072,223485,8005-4
1432077294,217896,8005-4
1255126336,217515,8005-4
1406051248,215314,8005-4
877613134,209991,8005-4
3485325152,208184,8005-4
2311044110,208091,8005-4
2130710944,204980,8005-4
2299350990,203950,8005-4
4075584704,201956,8005-4
2411560766,201576,8005-4
1080276782,201519,8005-4
294628751,197585,8005-4
2406742878,196532,8005-4
3460973072,193308,8005-4
1946119440,191274,8005-4
1054877294,190363,8005-4
513596079,187528,8005-4
901715984,187405,8005-4
204564703,187001,8005-4
2601630720,186801,8005-4
1106785358,186666,8005-4
4002705264,186224,8005-4
178100671,186035,8005-4
602898607,185086,8005-4
1054299120,184728,8005-4
2369960286,183217,8005-4
2348200366,182365,8005-4
4022391744,182145,8005-4
3802428992,181628,8005-4
4068774752,181544,8005-4
1241017790,179612,8005-4
1822589296,178857,8005-4
496257342,177996,8005-4
2419508238,177328,8005-4
6142959,173129,8005-4
1433177822,171201,8005-4
3491674912,169773,8005-4
198938335,168783,8005-4
1079718510,168698,8005-4
14478079,168206,8005-4
733625358,167287,8005-4
350318927,167235,8005-4
41319823,165813,8005-4
4231155232,165716,8005-4
3014021424,164863,8005-4
2419893950,164606,8005-4
2701791824,162192,8005-4
2470281488,160661,8005-4
300456046,160450,8005-4
2339870528,160149,8005-4
2411111998,158106,8005-4
2961207920,158086,8005-4
3736580800,157638,8005-4
1265669838,157401,8005-4
3227673888,157159,8005-4
2309077502,156985,8005-4
2402342862,156050,8005-4
1060630622,155550,8005-4
739919630,155134,8005-4
535585039,154992,8005-4
2573692720,154986,8005-4
223064558,154245,8005-4
500686047,154243,8005-4
2664176048,152935,8005-4
2383676030,150162,8005-4
1099426832,149592,8005-4
1139066142,149427,8005-4
514562847,147245,8005-4
2148796320,146633,8005-4
499244191,145643,8005-4
234526879,145395,8005-4
1142619278,145220,8005-4
21109887,144525,8005-4
3792204112,143881,8005-4
3922599824,143292,8005-4
2572507856,142812,8005-4
3964145216,142745,8005-4
3522249456,142482,8005-4
2404720638,142190,8005-4
8608543,142034,8005-4
2797178528,139991,8005-4
1206299070,139511,8005-4
1293817262,139018,8005-4
1436023550,138988,8005-4
344582559,138578,8005-4
1100518416,137787,8005-4
1087759854,137735,8005-4
1180251566,137501,8005-4
618133792,137388,8005-4
3652274176,137202,8005-4
2343608574,136993,8005-4
2438566894,135403,8005-4
1724513536,135059,8005-4
2653983872,134858,8005-4
3791964560,133894,8005-4
2703414384,133855,8005-4
2430743760,133313,8005-4
1510519152,133309,8005-4
351012895,133224,8005-4
1125779998,132769,8005-4
1057539774,132401,8005-4
21192207,131569,8005-4
3277925808,129534,8005-4
1058628206,129449,8005-4
4208068752,128460,8005-4
2341188574,127387,8005-4
582696382,127236,8005-4
83133695,127223,8005-4
2419429582,127036,8005-4
22925871,124384,8005-4
437970302,122167,8005-4
3837053472,118664,8005-4
440816415,98449,8005-4
1054553406,98047,8005-4
416223103,33959,8005-4
4179805728,1608630,8008-5
1257672176,1436781,8008-5
2697211264,1262435,8008-5
1851785936,922870,8008-5
2569663760,643419,8008-5
966590494,481944,8008-5
4282311792,473729,8008-5
2332886830,468350,8008-5
4211454464,448956,8008-5
252677598,444432,8008-5
953709424,444187,8008-5
257597758,440863,8008-5
3528326080,439625,8008-5
